x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
1293506.000,5044343.350,314.110,4,353620819.358768,10.998,17920,1,1,6,0,0,0,0,0,0
1293505.390,5044343.740,313.650,4,353620819.358775,10.998,18432,1,1,6,0,0,0,0,0,0
1293504.710,5044344.160,313.620,4,353620819.358782,10.998,17920,1,1,6,0,0,0,0,0,0
1293504.050,5044344.570,313.400,4,353620819.358789,10.998,13056,1,1,6,0,0,0,0,0,0
1293503.630,5044344.880,311.980,3,353620819.358795,10.998,16640,1,1,6,0,0,0,0,0,0
1293503.080,5044345.250,311.170,3,353620819.358802,10.998,14336,1,1,6,0,0,0,0,0,0
1293502.270,5044345.720,311.750,3,353620819.358809,10.998,15360,1,1,6,0,0,0,0,0,0
1293501.500,5044346.180,312.080,3,353620819.358816,10.998,9984,1,1,6,0,0,0,0,0,0
1293500.810,5044346.600,312.000,3,353620819.358823,10.998,8448,1,1,6,0,0,0,0,0,0
1293500.140,5044347.020,311.850,2,353620819.358829,10.998,8192,1,1,6,0,0,0,0,0,0
1293499.440,5044347.450,311.880,2,353620819.358836,10.998,8448,1,1,6,0,0,0,0,0,0
1293498.730,5044347.890,311.860,2,353620819.358843,10.998,8448,1,1,6,0,0,0,0,0,0
1293498.020,5044348.320,311.890,2,353620819.358850,10.998,10496,1,1,6,0,0,0,0,0,0
1293497.310,5044348.750,311.890,2,353620819.358857,10.998,10240,1,1,6,0,0,0,0,0,0
1293496.610,5044349.190,311.870,2,353620819.358864,10.998,8448,1,1,6,0,0,0,0,0,0
1293495.900,5044349.620,311.870,2,353620819.358870,10.002,8960,1,1,6,0,0,0,0,0,0
1293495.180,5044350.060,311.890,2,353620819.358877,10.002,8448,1,1,6,0,0,0,0,0,0
1293494.370,5044350.530,312.440,3,353620819.358884,10.002,14080,1,1,6,0,0,0,0,0,0
1293493.700,5044350.950,312.190,3,353620819.358891,10.002,13824,1,1,6,0,0,0,0,0,0
1293493.050,5044351.360,311.910,2,353620819.358897,10.002,11776,1,1,6,0,0,0,0,0,0
1293492.320,5044351.810,311.970,3,353620819.358904,10.002,11264,1,1,6,0,0,0,0,0,0
1293491.470,5044352.300,312.720,4,353620819.358911,10.002,5888,1,1,6,0,0,0,0,0,0
1293491.160,5044352.570,310.520,3,353620819.358918,10.002,7424,1,1,6,0,0,0,0,0,0
1293490.300,5044353.070,311.310,3,353620819.358925,10.002,8704,1,1,6,0,0,0,0,0,0
1293490.380,5044353.800,310.820,3,353620819.372730,10.002,11776,1,1,6,0,0,0,0,0,0
1293491.100,5044353.360,310.820,3,353620819.372737,10.002,10752,1,1,6,0,0,0,0,0,0
1293491.850,5044352.910,310.600,2,353620819.372744,10.002,12800,1,1,6,0,0,0,0,0,0
1293492.320,5044352.580,311.910,3,353620819.372750,10.002,7936,1,1,6,0,0,0,0,0,0
1293493.030,5044352.140,311.940,3,353620819.372757,10.002,15616,1,1,6,0,0,0,0,0,0
1293493.740,5044351.710,311.940,2,353620819.372764,10.002,9728,1,1,6,0,0,0,0,0,0
1293494.330,5044351.330,312.550,3,353620819.372771,10.002,19712,1,1,6,0,0,0,0,0,0
1293495.080,5044350.870,312.300,3,353620819.372777,10.002,14080,1,1,6,0,0,0,0,0,0
1293495.870,5044350.410,311.880,2,353620819.372784,10.002,11776,1,1,6,0,0,0,0,0,0
1293496.570,5044349.980,311.870,2,353620819.372791,10.002,11008,1,1,6,0,0,0,0,0,0
1293497.280,5044349.540,311.860,2,353620819.372798,10.998,12288,1,1,6,0,0,0,0,0,0
1293497.980,5044349.110,311.870,2,353620819.372805,10.998,13824,1,1,6,0,0,0,0,0,0
1293498.680,5044348.680,311.890,2,353620819.372812,10.998,11776,1,1,6,0,0,0,0,0,0
1293499.390,5044348.250,311.870,2,353620819.372818,10.998,10752,1,1,6,0,0,0,0,0,0
1293500.100,5044347.820,311.850,2,353620819.372825,10.998,9984,1,1,6,0,0,0,0,0,0
1293500.790,5044347.390,311.850,2,353620819.372832,10.998,10240,1,1,6,0,0,0,0,0,0
1293501.490,5044346.970,311.850,3,353620819.372839,10.998,11520,1,1,6,0,0,0,0,0,0
1293502.030,5044346.610,312.680,3,353620819.372846,10.998,8960,1,1,6,0,0,0,0,0,0
1293502.950,5044346.090,311.550,3,353620819.372852,10.998,16384,1,1,6,0,0,0,0,0,0
1293503.710,5044345.640,311.200,2,353620819.372859,10.998,16896,1,1,6,0,0,0,0,0,0
1293504.230,5044345.280,312.100,3,353620819.372866,10.998,14592,1,1,6,0,0,0,0,0,0
